Class,LCOM,LCOM Modified,WMC,CC3,MaxNest,SCC,EVG,CBO,CBO Modified,IFANIN BASE CLASSES,NOC,DIT,FANIN,FANOUT
ArquivoRepository.java,0,0,0,0,0,0,0,0,0,1,0,2,0,0
AutorController.java,81,81,12,12,19,18,5,15,19,1,0,1,31,29
Avaliacao.java,12,12,4,4,4,4,0,1,1,1,0,1,5,6
Email.java,74,74,13,13,13,11,2,3,3,1,0,1,7,9
Evento.java,56,56,35,39,33,52,2,25,25,1,0,1,15,17
EventoController.java,66,66,26,26,27,15,1,13,13,1,0,1,20,24
MinioStorageService.java,0,0,13,13,13,4,1,12,12,2,0,1,7,9
Modalidade.java,50,50,16,16,16,15,2,7,7,1,0,1,17,22
ParticipacaoController.java,50,25,4,4,4,2,1,7,7,1,0,1,8,14
PdfConfig.java,0,0,3,3,3,3,0,2,2,1,0,2,2,5
PessoaService.java,33,33,11,11,11,10,1,5,5,1,0,1,11,14
PresencaJsonWrapper.java,0,0,2,2,2,2,0,1,1,1,0,1,1,2
RevisaoJsonWrapper.java,50,50,4,4,4,4,0,1,1,1,0,1,17,13
SessaoController.java,57,57,11,11,11,7,1,19,19,1,0,1,12,16
SpringSecurityConfig.java,75,75,2,2,2,2,0,9,9,1,0,2,12,14
StorageException.java,0,0,2,2,2,2,0,2,2,1,1,2,1,2
StorageFileNotFoundException.java,0,0,2,2,2,2,0,2,2,1,0,3,2,2
SubmissaoRepository.java,0,0,0,0,0,0,0,0,0,1,0,2,1,1
Trabalho.java,45,45,47,47,69,83,3,28,29,2,0,1,28,39
TrilhaService.java,66,66,13,13,16,9,2,5,5,1,0,1,27,23
Arquivo.java,26,26,14,14,15,1,14,2,2,1,0,2,27,26
ArquivoController.java,19,19,3,3,3,0,3,7,7,1,0,1,9,13
ArquivoRepository.java,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Atividade.java,36,36,27,27,28,1,27,23,23,1,0,1,31,38
AtividadeControlleServ.java,25,25,7,7,8,1,6,8,8,1,0,1,33,39
AtividadeController.java,32,32,9,9,9,2,7,14,14,1,0,1,34,33
AtividadeService.java,1,1,9,9,10,1,8,22,22,1,0,1,16,13
AutorControllerProduct.java,15,15,19,19,24,5,15,12,12,1,0,1,29,25
CertificadoController.java,23,23,11,11,11,3,5,13,13,1,0,1,15,13
CoautorController.java,37,37,3,3,3,0,3,12,12,1,0,1,24,17
Constants.java,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ContestApplication.java,22,22,2,2,2,0,2,7,7,1,0,1,4,7
ContestException.java,31,31,2,2,2,0,2,13,13,1,0,1,3,3
CriteriosRevisaoValidator.java,33,33,3,3,4,2,3,14,14,1,0,1,7,8
EmailConfig.java,25,25,3,3,3,1,2,4,4,1,0,2,5,9
EnviarEmailService.java,28,28,5,5,5,1,4,17,17,1,1,2,2,5
EnviarEmailServiceImpl.java,5,5,5,5,5,1,3,19,19,1,0,1,11,15
ErrorController.java,28,28,8,6,8,1,5,10,10,1,0,1,6,9
EstadoEvento.java,26,26,4,4,4,0,4,15,15,1,0,1,9,6
EventoControllerOrganizador.java,1,1,14,14,14,3,9,16,16,1,0,1,27,12
EventoRepository.java,0,0,0,0,0,0,0,12,12,1,0,1,0,0
EventoService.java,15,15,35,35,37,2,20,12,12,1,0,1,34,24
EventoValidator.java,34,34,12,12,25,2,7,13,13,1,0,1,38,27
LoginController.java,27,27,16,16,17,2,12,21,21,2,0,1,9,16
MessageService.java,6,6,1,1,1,0,1,16,16,1,0,1,3,5
ModalidadeRepository.java,31,31,0,0,0,0,0,0,0,1,0,1,0,0
ModalidadeService.java,23,23,6,6,6,2,4,22,22,2,0,1,23,12
Participacao.java,26,26,14,14,14,0,14,13,13,1,0,1,6,3
ParticipacaoRepository.java,0,0,0,0,0,0,0,15,15,1,0,1,0,0
ParticipacaoService.java,29,29,10,10,15,2,4,8,8,1,0,1,3,6
Pessoa.java,5,5,24,24,25,1,23,19,19,1,0,1,20,14
PessoaLogadaUtil.java,36,36,2,2,2,0,2,14,14,1,0,1,0,2
PessoaRepository.java,0,0,0,0,0,0,0,0,0,1,0,1,0,0
PessoaServiceImpl.java,9,9,6,6,6,1,5,3,4,1,0,1,6,4
PessoaValidator.java,12,12,5,5,5,2,2,16,16,1,0,1,7,8
RestController.java,17,17,6,6,6,1,5,20,20,1,1,1,15,7
Revisao.java,69,69,47,47,48,2,46,8,8,2,0,1,78,67
RevisaoController.java,19,19,15,15,16,2,8,17,17,1,0,1,33,45
RevisaoJSON.java,7,7,3,3,3,1,2,4,4,2,0,1,8,14
RevisaoRepository.java,32,32,0,0,0,0,0,12,12,1,0,1,3,7
RevisaoService.java,14,14,7,7,7,0,6,5,5,1,0,1,13,
Sessao.java,3,3,18,18,18,0,18,1,1,1,0,1,23,27
SessaoControllerProduct.java,8,8,5,5,5,1,4,8,8,1,0,1,18,19
SessaoRepository.java,0,0,0,0,0,0,0,7,7,1,0,1,0,0
SessaoService.java,14,14,10,10,10,1,9,14,1,1,0,1,2,2
StorageConfig.java,13,13,2,2,2,1,1,13,12,1,0,1,3,7
StorageService.java,0,0,0,0,0,0,0,0,0,2,0,1,0,0
Submissao.java,9,9,7,8,7,1,15,14,16,1,0,1,26,12
SubmissaoService.java,19,19,6,6,6,1,5,2,2,1,0,1,7,4
TipoSubmissao.java,7,7,4,4,4,0,4,21,21,1,0,1,6,8
Token.java,33,33,15,15,15,2,14,20,20,1,0,1,7,13
TokenRepository.java,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TokenService.java,5,5,9,8,9,1,6,15,15,1,0,1,7,8
TrabalhoController.java,8,8,4,4,8,1,5,6,6,1,1,1,8,9
TrabalhoProduct.java,30,30,25,25,33,2,22,23,23,1,0,1,18,21
TrabalhoProduct2.java,37,37,7,7,7,2,7,18,18,1,0,1,7,6
TrabalhoRepository.java,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TrabalhoService.java,12,12,26,26,29,3,18,16,16,1,0,1,11,13
TrabalhoValidator.java,26,26,7,7,7,2,3,11,11,2,0,1,3,8
Trilha.java,29,29,22,22,24,2,19,22,22,1,0,1,13,19
TrilhaRepository.java,0,0,0,0,0,0,0,0,0,1,0,1,0,0
UserDetailsService.java,6,6,5,5,5,1,4,11,11,1,0,1,7,8
VisibilidadeEvento.java,5,5,4,4,4,0,4,13,13,1,0,1,18,9
