S1 WITH CO-OCCURENCES,COHESION,,COMPLEXITY,,,,Inheritance,,,COUPLING,,,SIZE,,,
Pacote/Classe,LCOM,,Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT,NOC,Base Classes,CBO,,,LOC,CLOC,Number of Methods,Number of Classes
"Package,""ufc.npi.prontuario""",,,,,,,,,,,,,7830,166,919,146
ProntuarioApplication,0,,1,1,1,0,1,0,1,0,,,,,,
ProntuarioApplicationTests,0,,1,1,1,0,1,0,1,0,,Total Size,9061,,,
ServletInitializer,0,,1,1,1,0,2,0,1,1,,,,,,
MvcConfig,0,,1,1,1,0,2,0,1,0,,,,,,
SecurityConfig,50,,1,2,2,0,2,0,1,0,,,,,,
ufc.npi.prontuario.controller,,,,,,,,,,,,,,,,
AlunoController,66,,1,9,6,2,1,0,1,9,,,,,,
AnamneseController,30,,1,14,10,1,1,0,1,10,,,,,,
AtendimentoController,78,,1,17,11,1,1,0,1,19,,,,,,
AvaliacaoController,22,,1,13,9,1,1,0,1,7,,,,,,
DisciplinaController,50,,1,9,6,2,1,0,1,7,,,,,,
DocumentoController,19,,1,9,5,2,1,0,1,7,,,,,,
OdontogramaController,78,,1,16,14,1,1,0,1,18,,,,,,
PacienteController,88,,1,20,16,1,1,0,1,21,,,,,,
PlanoTratamentoController,50,,1,7,5,1,1,0,1,12,,,,,,
ProfessorController,72,,2,12,6,2,1,0,1,11,,,,,,
ProntuarioController,0,,1,2,2,0,1,0,1,0,,,,,,
TipoPatologiaController,40,,1,9,5,3,1,0,1,7,,,,,,
TipoProcedimentoController,40,,1,9,5,3,1,0,1,7,,,,,,
TurmaController,75,,1,21,12,1,1,0,1,13,,,,,,
UsuarioController,28,,1,8,7,1,1,0,1,8,,,,,,
ufc.npi.prontuario.exception,,,,,,,,,,,,,,,,
ProntuarioException,0,,1,2,2,0,2,0,1,0,,,,,,
ufc.npi.prontuario.model,,,,,,,,,,,,,,,,
Aluno,80,,1,10,10,0,2,0,1,0,,,,,,
AlunoTurma,58,,2,19,17,2,1,0,1,3,,,,,,
AlunoTurmaId,33,,2,17,15,2,1,0,2,3,,,,,,
Anamnese,80,,1,22,19,2,1,0,1,2,,,,,,
Atendimento,89,,1,34,33,2,1,0,2,8,,,,,,
Avaliacao,78,,1,28,22,2,1,0,1,5,,,,,,
AvaliacaoAtendimento,80,,1,28,21,2,1,0,1,4,,,,,,
Disciplina,75,,1,17,16,2,1,0,1,0,,,,,,
Documento,78,,1,12,12,0,1,0,1,1,,,,,,
DocumentoDownload,0,,1,7,7,0,2,0,1,0,,,,,,
ItemAvaliacao,70,,2,21,19,2,1,0,1,1,,,,,,
ItemAvaliacaoAtendimento,70,,2,21,19,2,1,0,1,2,,,,,,
Odontograma,75,,1,17,16,2,1,0,1,1,,,,,,
Paciente,96,,1,70,64,2,1,0,1,8,,,,,,
PacienteAnamnese,85,,1,23,22,2,1,0,1,4,,,,,,
Patologia,90,,1,30,29,2,1,0,2,8,,,,,,
Pergunta,80,,1,22,21,2,1,0,2,2,,,,,,
PlanoTratamento,85,,1,25,24,2,1,0,1,5,,,,,,
Procedimento,88,,1,28,27,2,1,0,2,6,,,,,,
Resposta,80,,1,19,18,2,1,0,1,2,,,,,,
Servidor,0,,0,0,0,0,2,0,1,0,,,,,,
TipoPatologia,75,,1,17,16,2,1,0,1,0,,,,,,
TipoProcedimento,75,,1,17,16,2,1,0,1,0,,,,,,
Token,50,,2,13,12,2,1,0,1,1,,,,,,
Tratamento,80,,1,19,18,2,1,0,1,3,,,,,,
Turma,88,,1,27,26,2,1,0,1,1,,,,,,
Usuario,83,,1,34,32,2,1,2,2,1,,,,,,
ufc.npi.prontuario.repository,,,,,,,,,,,,,,,,
AlunoRepository,0,,0,0,0,0,2,0,1,1,,,,,,
AlunoTurmaRepository,0,,0,0,0,0,2,0,1,0,,,,,,
AnamneseRepository,0,,0,0,0,0,2,0,1,2,,,,,,
AtendimentoRepository,0,,0,0,0,0,2,0,1,6,,,,,,
AvaliacaoAtendimentoRepository,0,,0,0,0,0,2,0,1,0,,,,,,
