S2 Without Co-occurences,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,COHESION,,COMPLEXITY,,,,Inheritance,,,COUPLING,,,SIZE,,,
"""ufc.quixada.npi""",LCOM,,Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT,NOC,Base Classes,CBO,,,LOC,CLOC,Number of Methods,Number of Classes
AlocacaoProfessoresApplicationTests,0,,0,0,0,0,1,0,1,0,,,5447,126,696,104
ufc.quixada.npi.ap,,,,,,,,,,,,,,,,
AlocacaoProfessoresApplication,0,,1,1,1,0,1,0,1,0,,,,,,
ServletInitializer,0,,1,1,1,0,2,0,1,1,,Total Size,,,,
ufc.quixada.npi.ap.annotation,,,,,,,,,,,,6373,,,,
RestricaoDePeriodo,0,,0,0,0,0,0,0,0,0,,,,,,
RestricaoDePeriodoAjax,0,,0,0,0,0,0,0,0,0,,,,,,
ufc.quixada.npi.ap.annotation.impl,,,,,,,,,,,,,,,,
RestricaoDePeriodoAspect,66,,2,7,3,1,1,0,1,6,,,,,,
ufc.quixada.npi.ap.config,,,,,,,,,,,,,,,,
AlocacaoProfessoresSecurity,75,,1,2,1,0,2,0,1,1,,,,,,
"AuthenticationProviderAlocacaoProfessores""",50,,2,4,1,1,1,0,2,3,,,,,,
AuthenticationSuccessHandlerImpl,50,,1,7,1,2,1,0,2,0,,,,,,
LdapConfig,33,,1,3,1,0,1,0,1,1,,,,,,
MvcConfig,0,,1,4,1,0,2,0,1,4,,,,,,
ufc.quixada.npi.ap.controller,,,,,,,,,,,,,,,,
CheckListController,40,,1,6,1,1,1,0,1,6,,,,,,
CompartilhamentoController,57,,1,7,1,0,1,0,1,7,,,,,,
CompartilhamentoControllerProduct,55,,1,10,1,1,1,0,1,9,,,,,,
ConfiguracaoController,0,,1,2,1,0,1,0,1,3,,,,,,
CursoController,33,,2,10,1,1,1,0,1,9,,,,,,
DirecaoController,82,,1,8,1,3,1,0,1,18,,,,,,
DisciplinaController,55,,1,15,3,1,1,0,1,10,,,,,,
OfertaController,70,,1,8,1,3,1,0,1,12,,,,,,
OfertaControllerProduct,65,,1,13,1,2,1,0,1,18,,,,,,
PeriodoController,50,,1,11,1,1,1,0,1,6,,,,,,
ProfessorController,50,,1,12,1,1,1,0,1,9,,,,,,
ProfessorControllerProduct,59,,1,4,1,1,1,0,1,11,,,,,,
RestricaoHorarioController,68,,1,9,1,1,1,0,1,14,,,,,,
ufc.quixada.npi.ap.exception,,,,,,,,,,,,,,,,
AlocacaoProfessorException,50,,1,2,1,0,2,0,1,0,,,,,,
AlocacaoProfessoresException,50,,1,2,1,0,2,0,1,0,,,,,,
ufc.quixada.npi.ap.formatter,,,,,,,,,,,,,,,,
DisciplinaFormatter,50,,1,2,1,0,1,0,2,2,,,,,,
