S3 WITH CO-OCCURRENCES,COHESION,,COMPLEXITY,,,,Inheritance,,,COUPLING,,,SIZE,,,
Pacote/Classe,LCOM,,Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT,NOC,Base Classes,CBO,,,LOC,CLOC,Number of Methods,Number of Classes
ufc.npi.clinicas,,,,,,,,,,,,,7094,112,719,106
ClinicasApplication,0,,1,3,1,0,1,0,1,0,,,,,,
corsConfigurer,0,,1,1,1,0,1,0,2,0,,Total Size,8031,,,
MvrConfig,0,,1,1,1,0,2,0,1,0,,,,,,
ServletInitializer,0,,1,1,1,0,2,0,1,1,,,,,,
UserDetailsClinicas,0,,2,2,1,1,1,0,2,3,,,,,,
UsuarioControllerAdvice,0,,2,2,1,1,1,0,1,2,,,,,,
WebSecurityConfig,50,,1,2,1,0,2,0,1,0,,,,,,
ufc.npi.clinicas.controller,,,,,,,,,,,,,,,,
ClinicasController,0,,1,1,1,0,1,0,1,0,,,,,,
ConfiguraçõesController,100,,1,1,1,0,1,0,1,1,,,,,,
EntradaController,80,,2,42,6,1,1,0,1,19,,,,,,
FornecedorController,12,,1,12,1,1,1,0,1,6,,,,,,
GrupoMaterialController,12,,1,12,1,1,1,0,1,6,,,,,,
MaterialController,67,,2,28,5,3,1,0,1,11,,,,,,
RelatorioController,82,,1,26,1,2,1,0,1,14,,,,,,
SaidaController,72,,2,35,5,3,1,0,1,16,,,,,,
SetorController,62,,1,16,3,1,1,0,1,8,,,,,,
UnidadeMedidaController,12,,1,12,1,1,1,0,1,16,,,,,,
UsuarioController,60,,1,25,1,2,1,0,1,8,,,,,,
ufc.npi.clinicas.exceptions,,,,,,,,,,,,,,,,
ClinicasException,50,,1,2,1,0,2,0,1,0,,,,,,
ufc.npi.clinicas.model,,,,,,,,,,,,,,,,
AlocacaoItemSetor,80,,1,19,7,2,1,0,1,2,,,,,,
CodigoDeBarras,66,,1,4,1,0,1,0,1,1,,,,,,
Entrada,93,,1,47,7,2,1,0,1,6,,,,,,
getItens,0,,1,1,1,0,1,0,2,2,,,,,,
EstoqueLote,80,,1,12,1,0,1,0,1,1,,,,,,
EstoqueSetor,72,,1,18,7,2,1,0,1,2,,,,,,
Fornecedor,90,,1,31,7,2,1,0,1,0,,,,,,
GrupoMaterial,66,,1,15,7,2,1,0,1,0,,,,,,
ItemEntrada,88,,1,30,7,2,1,0,1,3,,,,,,
ItemSaida,83,,1,21,7,2,1,0,1,2,,,,,,
Material,88,,1,31,7,2,1,0,1,3,,,,,,
Papel,90,,1,5,1,0,1,0,2,0,,,,,,
SaidaMaterial,88,,1,31,7,2,1,0,1,5,,,,,,
Setor,75,,1,17,7,2,1,0,1,0,,,,,,
Status,83,,1,4,1,0,1,0,1,0,,,,,,
StatusEntrada,87,,1,4,1,0,1,0,1,0,,,,,,
TipoEntrada,91,,1,4,1,0,1,0,1,0,,,,,,
TipoSaida,92,,1,4,1,0,1,0,1,0,,,,,,
Token,50,,2,13,7,2,1,0,1,1,,,,,,
UnidadeMedida,50,,2,13,7,2,1,0,1,0,,,,,,
Usuario,91,,1,35,7,2,1,0,2,1,,,,,,
ufc.npi.model.view,,,,,,,,,,,,,,,,
RelatorioEntradaSaidaDTO,66,,1,9,1,0,1,0,1,0,,,,,,
ufc.npi.clinicas.repository,,,,,,,,,,,,,,,,
AlocacaoItemSetorRepository,0,,0,0,0,0,2,0,1,1,,,,,,
CodigoBarrasRepository,0,,0,0,0,0,2,0,1,0,,,,,,
EntradaRepository,0,,0,0,0,0,2,0,2,0,,,,,,
EstoqueLoteRepository,0,,0,0,0,0,2,0,1,2,,,,,,
EstoqueSetorRepository,0,,0,0,0,0,2,0,1,3,,,,,,
"FornecedorRepository""",0,,0,0,0,0,2,0,1,0,,,,,,
GrupoMaterialRepository,0,,0,0,0,0,2,0,1,0,,,,,,
